symbol,tf,quarter,train_pf_2x,cfg,test_pf_2x,test_trades
BTCUSDT,1h,2024-10-01,1.541,647,0.8894,13
BTCUSDT,1h,2025-01-01,1.8861,630,0.5414,30
BTCUSDT,1h,2025-04-01,1.5581,633,1.486,31
BTCUSDT,1h,2025-07-01,1.6997,430,1.3065,14
BTCUSDT,1h,2025-10-01,1.5383,630,0.3965,39
BTCUSDT,1h,2026-01-01,1.4743,474,0.5458,13
BTCUSDT,1h,2026-04-01,1.8606,585,2.1604,14
BTCUSDT,4h,2018-10-01,1.5451,201,0.3158,12
BTCUSDT,4h,2019-01-01,0.9851,215,0.5516,12
BTCUSDT,4h,2019-04-01,0.9902,458,2.4324,8
BTCUSDT,4h,2019-07-01,1.2374,533,3.3597,4
BTCUSDT,4h,2019-10-01,1.498,458,0.0986,11
BTCUSDT,4h,2020-01-01,1.1505,218,0.9567,10
BTCUSDT,4h,2020-04-01,1.4918,309,0.425,9
BTCUSDT,4h,2020-07-01,2.0743,101,10.9517,7
BTCUSDT,4h,2020-10-01,2.5854,107,4.3923,8
BTCUSDT,4h,2021-01-01,4.8685,101,0.0,8
BTCUSDT,4h,2021-04-01,2.3376,107,1.0198,8
BTCUSDT,4h,2021-07-01,2.7364,363,0.8968,12
BTCUSDT,4h,2021-10-01,2.097,639,1.2525,12
BTCUSDT,4h,2022-01-01,1.4578,639,0.0799,12
BTCUSDT,4h,2022-04-01,1.2491,2,0.1903,15
BTCUSDT,4h,2022-07-01,1.0111,579,0.8479,13
BTCUSDT,4h,2022-10-01,0.9383,568,2.2717,19
BTCUSDT,4h,2023-01-01,1.6869,460,0.3245,9
BTCUSDT,4h,2023-04-01,1.5574,460,0.1578,10
BTCUSDT,4h,2023-07-01,2.001,432,2.5915,13
BTCUSDT,4h,2023-10-01,2.4497,432,1.4326,11
BTCUSDT,4h,2024-01-01,2.031,450,1.8253,11
BTCUSDT,4h,2024-04-01,2.5237,450,0.1434,11
BTCUSDT,4h,2024-07-01,2.0198,196,0.2979,12
BTCUSDT,4h,2024-10-01,1.2529,93,0.3976,9
BTCUSDT,4h,2025-01-01,1.1017,229,1.0858,12
BTCUSDT,4h,2025-04-01,1.4069,288,0.3292,15
BTCUSDT,4h,2025-07-01,1.3997,12,0.8122,20
BTCUSDT,4h,2025-10-01,1.6249,66,0.9785,13
BTCUSDT,4h,2026-01-01,1.4687,0,0.4458,17
BTCUSDT,4h,2026-04-01,1.3264,2,1.1508,15
ETHUSDT,1h,2020-04-01,2.1401,537,0.9968,12
ETHUSDT,1h,2020-07-01,1.3773,527,1.1243,15
ETHUSDT,1h,2020-10-01,1.7609,639,0.3792,19
ETHUSDT,1h,2021-01-01,1.4486,463,1.9827,11
ETHUSDT,1h,2021-04-01,1.4806,423,1.3512,14
ETHUSDT,1h,2021-07-01,1.4539,423,2.1695,15
ETHUSDT,1h,2021-10-01,1.2895,105,1.3108,13
ETHUSDT,1h,2022-01-01,1.9203,629,0.89,20
ETHUSDT,1h,2022-04-01,1.6946,647,0.4779,14
ETHUSDT,1h,2022-07-01,2.4198,431,0.4355,13
ETHUSDT,1h,2022-10-01,1.4374,632,1.3996,18
ETHUSDT,1h,2023-01-01,1.7338,522,1.0711,23
ETHUSDT,1h,2023-04-01,2.3549,538,0.8284,11
ETHUSDT,1h,2023-07-01,1.5104,91,1.2594,16
ETHUSDT,1h,2023-10-01,1.8521,262,2.2861,13
ETHUSDT,1h,2024-01-01,1.8878,262,0.507,11
ETHUSDT,1h,2024-04-01,2.1269,152,1.6166,13
ETHUSDT,1h,2024-07-01,2.1079,152,1.7644,14
ETHUSDT,1h,2024-10-01,2.3528,375,2.4456,13
ETHUSDT,1h,2025-01-01,1.9394,530,2.266,11
ETHUSDT,1h,2025-04-01,2.6106,588,6.9561,13
ETHUSDT,1h,2025-07-01,2.7949,481,2.0571,10
ETHUSDT,1h,2025-10-01,3.3917,376,1.3018,14
ETHUSDT,1h,2026-01-01,3.2097,107,0.6746,12
ETHUSDT,1h,2026-04-01,3.1402,534,1.1936,13
ETHUSDT,4h,2020-04-01,2.213,34,2.2899,7
ETHUSDT,4h,2020-07-01,2.3418,246,1.2782,7
ETHUSDT,4h,2020-10-01,2.7903,241,0.2901,10
ETHUSDT,4h,2021-01-01,1.9504,413,0.9509,13
ETHUSDT,4h,2021-04-01,1.5031,629,0.9166,13
ETHUSDT,4h,2021-07-01,1.4156,574,0.7889,12
ETHUSDT,4h,2021-10-01,1.1805,574,1.9058,14
ETHUSDT,4h,2022-01-01,2.4163,101,0.1246,9
ETHUSDT,4h,2022-04-01,1.2277,515,0.5959,7
ETHUSDT,4h,2022-07-01,1.1653,305,0.6741,8
ETHUSDT,4h,2022-10-01,1.5262,59,1.3888,17
ETHUSDT,4h,2023-01-01,1.4924,647,0.3111,12
ETHUSDT,4h,2023-04-01,1.9496,641,0.3234,12
ETHUSDT,4h,2023-07-01,1.6578,647,0.7182,12
ETHUSDT,4h,2023-10-01,2.1665,207,0.7011,13
ETHUSDT,4h,2024-01-01,1.8744,66,0.3335,16
ETHUSDT,4h,2024-04-01,2.07,305,0.818,8
ETHUSDT,4h,2024-07-01,2.2332,302,0.6844,9
ETHUSDT,4h,2024-10-01,1.7878,364,3.5042,13
ETHUSDT,4h,2025-01-01,2.1152,364,1.7463,12
ETHUSDT,4h,2025-04-01,1.9623,364,3.2688,12
ETHUSDT,4h,2025-07-01,2.3933,364,0.327,12
ETHUSDT,4h,2025-10-01,1.7684,101,0.3866,10
ETHUSDT,4h,2026-01-01,1.3699,95,1.2838,9
ETHUSDT,4h,2026-04-01,1.2416,95,0.4313,10
SOLUSDT,1h,2021-10-01,1.8326,526,0.4456,11
SOLUSDT,1h,2022-01-01,2.2508,533,1.0119,12
SOLUSDT,1h,2022-04-01,2.0243,539,0.6067,11
SOLUSDT,1h,2022-07-01,2.0547,576,0.7788,21
SOLUSDT,1h,2022-10-01,1.9581,425,0.4882,14
SOLUSDT,1h,2023-01-01,1.6911,641,2.3591,12
SOLUSDT,1h,2023-04-01,1.9413,640,3.2893,14
SOLUSDT,1h,2023-07-01,1.5959,256,0.7783,16
SOLUSDT,1h,2023-10-01,1.7942,583,0.3146,14
SOLUSDT,1h,2024-01-01,1.9702,583,0.8639,13
SOLUSDT,1h,2024-04-01,1.7958,430,0.7595,14
SOLUSDT,1h,2024-07-01,1.9332,474,0.7744,13
SOLUSDT,1h,2024-10-01,1.9521,475,0.5964,13
SOLUSDT,1h,2025-01-01,1.6552,255,1.8009,16
SOLUSDT,1h,2025-04-01,2.0164,644,2.2339,13
SOLUSDT,1h,2025-07-01,2.6715,645,0.7549,15
SOLUSDT,1h,2025-10-01,2.2439,576,1.2367,23
SOLUSDT,1h,2026-01-01,2.4059,410,1.5637,18
SOLUSDT,1h,2026-04-01,1.9856,576,1.2143,25
SOLUSDT,4h,2021-10-01,1.7478,431,5.9901,11
SOLUSDT,4h,2022-01-01,2.7718,431,1.722,11
SOLUSDT,4h,2022-04-01,2.6329,431,1.1979,12
SOLUSDT,4h,2022-07-01,2.9216,369,1.5513,12
SOLUSDT,4h,2022-10-01,2.5174,369,0.2699,13
SOLUSDT,4h,2023-01-01,1.3887,107,0.3919,9
SOLUSDT,4h,2023-04-01,1.0043,57,0.4823,17
SOLUSDT,4h,2023-07-01,1.0245,57,1.286,14
SOLUSDT,4h,2023-10-01,1.2004,57,0.8041,17
SOLUSDT,4h,2024-01-01,1.2847,568,0.7302,15
SOLUSDT,4h,2024-04-01,1.2234,397,1.7467,20
SOLUSDT,4h,2024-07-01,1.4476,63,0.7114,19
SOLUSDT,4h,2024-10-01,1.3863,456,0.0932,14
SOLUSDT,4h,2025-01-01,1.3093,510,1.3643,12
SOLUSDT,4h,2025-04-01,1.6303,216,1.7132,15
SOLUSDT,4h,2025-07-01,1.7195,216,0.7867,14
SOLUSDT,4h,2025-10-01,1.9399,270,2.2783,16
SOLUSDT,4h,2026-01-01,2.0237,270,2.3058,15
SOLUSDT,4h,2026-04-01,1.9152,1,1.0011,19
EURUSD,1h,2024-10-01,1.2418,305,0.9779,13
EURUSD,1h,2025-01-01,1.1356,323,0.9376,8
EURUSD,1h,2025-04-01,1.8297,428,5.0042,11
EURUSD,1h,2025-07-01,1.6688,370,0.3262,13
EURUSD,1h,2025-10-01,2.1337,428,1.9482,11
EURUSD,1h,2026-01-01,2.1314,375,1.7119,11
EURUSD,1h,2026-04-01,1.6755,261,0.3183,12
AUDUSD,1h,2024-10-01,2.0867,589,2.94,11
AUDUSD,1h,2025-01-01,2.3759,644,0.3278,10
AUDUSD,1h,2025-04-01,1.6454,375,0.7868,10
AUDUSD,1h,2025-07-01,2.3079,375,2.7462,11
AUDUSD,1h,2025-10-01,1.7956,258,0.2959,12
AUDUSD,1h,2026-01-01,1.6786,578,0.9149,12
AUDUSD,1h,2026-04-01,1.5521,632,0.2867,14
